Date,Open,High,Low,Close,Volume,Adj Close
2015-08-25,113.580002,117.150002,112.050003,112.519997,1386700,110.296935
2015-08-24,104.00,107.989998,102.800003,107.139999,1691100,105.023231
2015-08-21,117.470001,121.050003,114.139999,114.190002,1211100,111.933947
2015-08-20,120.540001,121.989998,118.419998,119.730003,969700,117.364494
2015-08-19,121.330002,123.980003,119.510002,122.080002,630700,119.668063
2015-08-18,120.510002,124.00,116.519997,122.489998,1472000,120.069959
2015-08-17,123.75,125.260002,121.290001,124.00,1201000,121.550128
2015-08-14,132.080002,134.619995,125.650002,126.040001,1199000,123.549825
2015-08-13,138.25,138.630005,130.800003,133.899994,1717100,131.254527
2015-08-12,138.009995,141.729996,133.740005,141.199997,1343200,138.410304
2015-08-11,146.580002,147.929993,140.110001,141.570007,1017800,138.773004
2015-08-10,149.389999,149.970001,146.419998,149.220001,743400,146.271857
2015-08-07,147.100006,149.889999,145.490005,147.789993,573800,144.870102
2015-08-06,146.029999,148.210007,144.850006,146.029999,385400,143.144879
2015-08-05,143.889999,147.50,143.559998,145.550003,614100,142.674367
2015-08-04,140.440002,145.369995,140.110001,143.419998,639300,140.586445
2015-08-03,139.100006,140.610001,135.289993,138.839996,735700,136.09693
2015-07-31,141.029999,143.289993,136.759995,138.630005,740500,135.891087
2015-07-30,141.00,144.00,139.100006,141.029999,452500,138.243665
2015-07-29,141.899994,143.619995,140.539993,141.470001,683300,138.674974
2015-07-28,139.970001,142.429993,138.529999,140.449997,1085000,137.675122
2015-07-27,141.690002,143.50,136.309998,138.580002,1548000,135.842072
2015-07-24,150.580002,150.990005,147.300003,148.649994,696500,145.713111
2015-07-23,151.880005,153.869995,150.119995,150.580002,715800,147.604988
2015-07-22,147.100006,150.949997,147.009995,150.169998,637600,147.203085
2015-07-21,150.00,152.50,148.139999,151.050003,609000,148.065703
2015-07-20,150.360001,150.580002,147.020004,150.169998,571600,147.203085
2015-07-17,153.00,154.520004,149.520004,150.940002,1075400,147.957876
2015-07-16,144.440002,150.929993,143.00,150.759995,1018500,147.781424
2015-07-15,142.860001,146.600006,140.75,141.880005,949100,139.076877
2015-07-14,139.619995,149.270004,139.610001,145.210007,1168800,142.341088
2015-07-13,142.320007,142.990005,139.270004,141.039993,817500,138.253462
2015-07-10,142.199997,143.970001,136.679993,139.949997,1122600,137.185
2015-07-09,137.679993,143.940002,137.679993,140.960007,2048100,138.175055
2015-07-08,122.510002,134.509995,121.989998,132.350006,1506300,129.735163
2015-07-07,130.50,131.949997,116.080002,129.779999,3516300,127.215931
2015-07-06,140.75,141.440002,131.00,133.990005,2034200,131.342761
2015-07-02,143.580002,145.580002,142.110001,144.929993,639300,142.066606
2015-07-01,143.429993,146.25,142.850006,144.130005,776600,141.282424
2015-06-30,143.25,145.460007,142.710007,144.869995,1085800,142.007794
2015-06-29,143.00,143.669998,140.360001,140.610001,714400,137.831964
2015-06-26,146.50,146.800003,140.399994,144.479996,1166700,141.6255
2015-06-25,148.979996,149.490005,146.080002,147.020004,417600,144.115325
2015-06-24,149.740005,150.389999,147.460007,148.179993,512700,145.252396
2015-06-23,146.899994,151.259995,145.009995,150.389999,977600,147.418739
2015-06-22,150.899994,151.190002,144.610001,144.889999,1007000,142.027403
2015-06-19,149.600006,150.160004,147.160004,149.380005,611800,146.428699
2015-06-18,151.00,151.860001,149.50,150.740005,608600,147.76183
2015-06-17,151.990005,154.880005,151.009995,151.270004,928600,148.281358
2015-06-16,146.839996,151.419998,146.839996,149.860001,618400,146.899212
2015-06-15,147.600006,150.350006,146.270004,148.190002,950700,145.262208
2015-06-12,148.00,151.339996,146.300003,150.009995,1273700,147.046242
2015-06-11,147.839996,150.679993,146.509995,148.529999,1213400,145.595487
2015-06-10,144.539993,147.470001,144.00,147.100006,596700,144.193747
2015-06-09,143.699997,145.080002,140.889999,144.210007,434700,141.360845
2015-06-08,145.960007,150.020004,142.919998,144.070007,894800,141.223612
2015-06-05,142.600006,146.960007,142.600006,145.589996,1426700,142.71357
2015-06-04,143.330002,144.389999,142.699997,143.179993,779400,140.351181
2015-06-03,146.289993,146.399994,143.850006,144.139999,709100,141.292221
2015-06-02,143.130005,145.169998,143.100006,144.429993,917600,141.576485
2015-06-01,143.690002,146.080002,141.50,144.169998,905400,141.321627
2015-05-29,141.910004,143.50,140.610001,141.410004,505800,138.616162
2015-05-28,142.190002,144.50,139.649994,141.759995,767800,138.959238
2015-05-27,145.509995,145.589996,142.009995,143.869995,985000,141.027551
2015-05-26,148.919998,149.360001,144.110001,144.389999,1002800,141.537281
2015-05-22,149.949997,149.949997,146.00,146.199997,998700,143.311519
2015-05-21,145.559998,150.300003,144.589996,149.470001,1134000,146.134628
2015-05-20,141.830002,145.110001,141.039993,144.130005,1295600,140.913792
2015-05-19,143.00,143.399994,140.059998,140.320007,592900,137.188813
2015-05-18,140.770004,142.449997,139.50,141.320007,597800,138.166498
2015-05-15,140.860001,142.570007,139.179993,141.119995,885500,137.970949
2015-05-14,136.639999,143.929993,136.059998,140.830002,3053100,137.687427
2015-05-13,127.559998,131.520004,127.410004,130.00,1086600,127.099093
2015-05-12,129.229996,129.990005,127.589996,127.75,567600,124.899301
2015-05-11,129.00,129.949997,127.040001,128.889999,561300,126.013862
2015-05-08,130.00,130.389999,126.519997,129.229996,573600,126.346271
2015-05-07,124.519997,128.139999,123.989998,127.50,1034700,124.65488
